Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1729626877143,4305,3898,400,400,1961,2424,3284,1642,0,13.793103218078613,3.5714287757873535,6.6666669845581055,6.896551609039307,0,6.896551609039307,3.4482758045196533,0,7629.671875,228777.52893066406,116.499267578125,16459395072,19327344640,2946277376,0
200,1729626877143,4305,3898,400,400,1961,2424,3284,1642,0,13.793103218078613,3.5714287757873535,6.6666669845581055,6.896551609039307,0,6.896551609039307,3.4482758045196533,0,7629.671875,228777.52893066406,116.499267578125,16459395072,19327344640,2946277376,0
200,1729626877343,4305,3898,400,400,1961,2424,3284,1642,0,0,0,0,0,0,0,100,0,7633.302917480469,228780.59741210938,116.5059814453125,16459395072,19327344640,2952212480,0
200,1729626877543,4305,3898,400,400,1961,2424,3284,1642,0,0,0,0,0,0,0,100,0,7636.910888671875,228783.65692138672,116.5059814453125,16459395072,19327344640,2953244672,0
200,1729626877743,4305,3898,400,400,1961,2424,3284,1642,0,0,0,0,0,0,0,100,0,7640.4876708984375,228786.6704711914,116.515625,16459395072,19327344640,2948923392,0
200,1729626877944,4305,3898,400,400,1961,2424,3284,1642,0,0,0,0,0,0,0,100,0,7644.058044433594,228789.65142822266,116.55126953125,16459395072,19327344640,2948661248,0
200,1729626878144,4305,3898,400,400,1961,2424,3284,1642,0,0,0,0,0,0,4.761904716491699,100,0,7647.6341552734375,228792.6766357422,116.55126953125,16459395072,19327344640,2950467584,0
200,1729626878344,4305,3898,400,400,1961,2424,3284,1642,0,4.761904716491699,0,0,0,0,0,100,0,7651.234680175781,228795.68701171875,116.583740234375,16459395072,19327344640,2952531968,0
200,1729626878544,4305,3898,400,400,1961,2424,3284,1642,0,4.761904716491699,0,0,0,0,0,100,0,7654.791076660156,228798.69744873047,116.583740234375,16459395072,19327344640,2952531968,0
200,1729626878744,4305,3898,400,400,1961,2424,3284,1642,4.761904716491699,0,0,0,0,0,0,100,0,7658.335205078125,228801.6919555664,116.583740234375,16459395072,19327344640,2947641344,0
200,1729626878944,4305,3898,400,400,1961,2424,3284,1642,4.761904716491699,0,0,0,0,0,0,100,0,7661.909362792969,228804.6889038086,116.5985107421875,16459395072,19327344640,2947641344,0
200,1729626879144,4305,3898,400,400,1961,2424,3284,1642,0,0,0,0,0,0,0,100,0,7665.464904785156,228807.69317626953,116.5985107421875,16459395072,19327344640,2947641344,0
200,1729626879345,4305,3898,400,400,1961,2424,3284,1642,0,0,0,0,0,0,0,100,0,7669.0355224609375,228810.7006225586,116.6068115234375,16459395072,19327344640,2947641344,0
200,1729626879545,4305,3898,400,400,1961,2424,3284,1642,0,0,4.761904716491699,0,0,0,0,100,0,7672.606201171875,228813.71356201172,116.61279296875,16459395072,19327344640,2947641344,0
200,1729626879745,4305,3898,400,400,1961,2424,3284,1642,0,0,0,0,0,0,0,100,0,7676.153747558594,228816.71014404297,116.61279296875,16459395072,19327344640,2941890560,0
200,1729626879945,4305,3898,400,400,1961,2424,3284,1642,0,0,0,0,0,0,0,100,0,7679.6800537109375,228819.68627929688,116.61279296875,16459395072,19327344640,2943696896,0
200,1729626880145,4305,3898,400,400,1961,2424,3284,1642,4.761904716491699,0,0,0,0,0,0,100,0,7683.2486572265625,228822.68969726563,116.6195068359375,16459395072,19327344640,2943696896,0
200,1729626880345,4305,3898,400,400,1961,2424,3284,1642,0,0,0,0,0,0,0,100,0,7686.7855224609375,228825.67779541016,116.6195068359375,16459395072,19327344640,2945761280,0
200,1729626880545,4305,3898,400,400,1961,2424,3284,1642,0,0,0,0,0,4.761904716491699,0,100,0,7690.338073730469,228828.68225097656,116.6195068359375,16459395072,19327344640,2949890048,0
200,1729626880745,4305,3898,400,400,1961,2424,3284,1642,0,0,9.523809432983398,0,0,0,0,100,0,7693.949645996094,228831.72729492188,116.6253662109375,16459395072,19327344640,2944602112,0
200,1729626880945,4305,3898,400,400,1961,2424,3284,1642,0,0,0,0,0,0,0,100,0,7697.48779296875,228834.71258544922,116.6253662109375,16459395072,19327344640,2944602112,0
200,1729626881146,4305,3898,400,400,1961,2424,3284,1642,4.761904716491699,0,0,0,0,0,0,100,0,7701.059814453125,228837.73077392578,116.6253662109375,16459395072,19327344640,2944602112,0
200,1729626881346,4305,3898,400,400,1961,2424,3284,1642,0,0,0,0,0,0,0,100,0,7704.61328125,228840.7205810547,116.6334228515625,16459395072,19327344640,2944602112,0
200,1729626881546,4305,3898,400,400,1961,2424,3284,1642,0,0,0,0,0,0,0,100,0,7708.159362792969,228843.71813964844,116.6334228515625,16459395072,19327344640,2946408448,0
