Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1729525269651,4300,400,553,400,3409,399,1954,399,7.142857551574707,10.714285850524902,3.22580623626709,3.3333334922790527,0,6.6666669845581055,3.4482758045196533,3.3333334922790527,0,48085.31787109375,21115.794189453125,5600.315185546875,16459386880,19327344640,1072734208,6045241344
200,1729525269651,4300,400,553,400,3409,399,1954,399,7.142857551574707,10.714285850524902,3.22580623626709,3.3333334922790527,0,6.6666669845581055,3.4482758045196533,3.3333334922790527,0,48085.31787109375,21115.794189453125,5600.315185546875,16459386880,19327344640,1072734208,6045241344
200,1729525269851,4300,400,553,400,3409,399,1954,399,0,52.38095474243164,0,0,0,0,0,30.000001907348633,0,48088.83068847656,21118.629760742188,5600.315185546875,16459386880,19327344640,1364721664,6045241344
200,1729525270052,4300,400,553,400,3409,399,1954,399,9.090909004211426,85,0,0,4.761904716491699,0,0,0,0,48092.517517089844,21121.608032226563,5600.315185546875,16459386880,19327344640,1629052928,6045241344
200,1729525270252,4300,400,553,400,3409,399,1954,399,0,80.95238494873047,0,0,0,0,0,0,0,48096.15710449219,21124.535583496094,5600.319091796875,16459386880,19327344640,1900724224,6043144192
200,1729525270452,4300,400,553,400,3409,399,1954,399,5,80,0,0,4.761904716491699,0,4.761904716491699,0,0,48099.810485839844,21127.480102539063,5600.319091796875,16459386880,19327344640,2165444608,6042357760
200,1729525270652,4300,400,553,400,3409,399,1954,399,9.523809432983398,70,0,0,0,0,0,15.789472579956055,0,48103.42053222656,21130.38299560547,5600.320556640625,16459386880,19327344640,2432659456,6040260608
200,1729525270852,4300,400,553,400,3409,399,1954,399,0,0,0,0,0,0,0,85,0,48106.92150878906,21133.18896484375,5600.322265625,16459386880,19327344640,2704220160,6040260608
200,1729525271052,4300,400,553,400,3409,399,1954,399,0,50,0,0,0,0,0,34.78260803222656,0,48110.524353027344,21136.093383789063,5600.322265625,16459386880,19327344640,2981191680,6040260608
200,1729525271252,4300,400,553,400,3409,399,1954,399,5,85.71428680419922,0,0,0,0,0,0,0,48114.188537597656,21139.038818359375,5600.3302001953125,16459386880,19327344640,3268202496,6040260608
200,1729525271452,4300,400,553,400,3409,399,1954,399,0,90,0,0,0,0,0,0,0,48117.90997314453,21142.04931640625,5600.3302001953125,16459386880,19327344640,3552284672,6039998464
200,1729525271652,4300,400,553,400,3409,399,1954,399,0,89.47368621826172,0,0,0,0,0,0,0,48121.61047363281,21145.034240722656,5600.33154296875,16459386880,19327344640,3842756608,6039998464
200,1729525271853,4300,400,553,400,3409,399,1954,399,0,89.47368621826172,0,0,0,0,0,0,0,48125.28845214844,21147.995727539063,5600.33154296875,16459386880,19327344640,4138020864,6039998464
200,1729525272053,4300,400,553,400,3409,399,1954,399,9.523809432983398,90,0,0,0,0,0,0,0,48128.97326660156,21150.9677734375,5600.33154296875,16459386880,19327344640,4422492160,6039998464
200,1729525272253,4300,400,553,400,3409,399,1954,399,0,95,0,0,0,0,0,0,0,48132.655517578125,21153.929077148438,5600.3338623046875,16459386880,19327344640,4815400960,6039998464
200,1729525272453,4300,400,553,400,3409,399,1954,399,0,100,0,0,0,0,0,0,0,48136.340393066406,21156.899169921875,5600.3338623046875,16459386880,19327344640,5534007296,6039998464
200,1729525272653,4300,400,553,400,3409,399,1954,399,0,100,0,0,0,0,0,0,0,48140.027587890625,21159.869506835938,5600.337158203125,16459386880,19327344640,6252343296,6039736320
200,1729525272853,4300,400,553,400,3409,399,1954,399,4.761904716491699,100,0,4.761904716491699,0,0,0,0,0,48143.6962890625,21162.823303222656,5600.337158203125,16459386880,19327344640,6970548224,6039736320
200,1729525273053,4300,400,553,400,3409,399,1954,399,4.761904716491699,100,0,0,0,0,0,0,0,48147.38879394531,21165.801147460938,5600.337158203125,16459386880,19327344640,7680512000,6039736320
200,1729525273253,4300,400,553,400,3409,399,1954,399,0,100,0,0,0,0,0,0,0,48151.121520996094,21168.836791992188,5600.337158203125,16459386880,19327344640,7708102656,6039736320
200,1729525273454,4300,400,553,400,3409,399,1954,399,0,100,0,0,0,0,0,0,0,48154.90319824219,21171.95166015625,5600.337158203125,16459386880,19327344640,6882799616,6039736320
200,1729525273654,4300,400,553,400,3409,399,1954,399,11.111111640930176,90,0,0,0,0,0,0,0,48158.738708496094,21175.108642578125,5600.340087890625,16459386880,19327344640,6052274176,6039736320
200,1729525273854,4300,400,553,400,3409,399,1954,399,100,0,0,0,0,0,0,0,0,48163.12255859375,21178.833984375,5600.340087890625,16459386880,19327344640,5175468032,6039736320
200,1729525274054,4300,400,553,400,3409,399,1954,399,100,9.523809432983398,4.761904716491699,0,0,4.761904716491699,0,0,0,48167.59307861328,21182.637329101563,5600.340087890625,16459386880,19327344640,4740177920,6039474176
200,1729525274254,4300,400,553,400,3409,399,1954,399,100,0,0,4.761904716491699,0,0,0,0,0,48172.07501220703,21186.471252441406,5600.3443603515625,16459386880,19327344640,5274853376,6039474176
200,1729525274454,4300,400,553,400,3409,399,1954,399,100,4.761904716491699,0,0,0,0,0,0,0,48176.53643798828,21190.315490722656,5600.3443603515625,16459386880,19327344640,5806424064,6039474176
200,1729525274654,4300,400,553,400,3409,399,1954,399,100,0,0,0,0,0,0,0,0,48180.99493408203,21194.156188964844,5600.3458251953125,16459386880,19327344640,6331809792,6039474176
200,1729525274854,4300,400,553,400,3409,399,1954,399,100,0,0,0,0,0,0,0,0,48185.45245361328,21197.998291015625,5600.3458251953125,16459386880,19327344640,6866485248,6039474176
200,1729525275055,4300,400,553,400,3409,399,1954,399,100,4.761904716491699,0,0,0,0,0,0,0,48189.87292480469,21201.806579589844,5600.3458251953125,16459386880,19327344640,7392808960,6039474176
